validation_id,model_id,runtime_secs,PinballLoss_mean,PinballLoss_std,MeanSquaredError_mean,MeanSquaredError_std
p02,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,284.0628952980041,0.2509855684207299,0.0969201524255949,1.940629177116571,0.8981605975749198
p02,NaiveForecaster-strategy_last,2.936544179916382,0.408294519854633,0.2676516717402144,3.042988769697352,1.056287999876115
p02,NaiveForecaster-strategy_mean,2.022287368774414,0.2528365979833783,0.0627671177161785,2.355566507912485,0.8070835511329196
p03,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,424.3952584266663,0.3051813192040227,0.2437846528094722,2.527652693431538,1.5161526133861378
p03,NaiveForecaster-strategy_last,0.6381936073303223,0.6450957528437292,0.8819649342434646,3.4475314530453844,2.6861727608703183
p03,NaiveForecaster-strategy_mean,2.558626413345337,0.3473524571879889,0.2345149864718209,2.7969232962946164,1.3570136691350556
p04,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,276.4706988334656,0.1967857122652156,0.0816904183269175,1.8692295949649185,0.4819550295480207
p04,NaiveForecaster-strategy_last,2.605989456176758,0.2600025902455743,0.0980340068414636,2.238954229761902,0.9929284647283252
p04,NaiveForecaster-strategy_mean,1.472087860107422,0.2088136252149625,0.0557043163825197,1.8008087199390344,0.4450167618108565
p10,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,284.6871178150177,0.2030039173802088,0.0781202141203454,1.350220186723507,0.5552296389772945
p10,NaiveForecaster-strategy_last,2.587693452835083,0.2067797145288265,0.0762512149960666,1.734137035829083,0.645710034300109
p10,NaiveForecaster-strategy_mean,1.5270793437957764,0.1721299983898579,0.0626420825484678,1.3827857610799263,0.5792113536903221
p11,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,306.02721333503723,0.4152398849750142,0.3459168443617388,3.171313479789825,2.3882191839103064
p11,NaiveForecaster-strategy_last,7.215090751647949,0.3616528286016274,0.3224728683974347,2.8011215257061712,1.4213426814277
p11,NaiveForecaster-strategy_mean,1.5315561294555664,0.2846074591692009,0.1558952941606866,2.5074854443153907,1.101549194985642
p12,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,266.11731004714966,0.2562960676166374,0.1048769938157379,1.94938928240258,0.8794060573925117
p12,NaiveForecaster-strategy_last,2.5901100635528564,0.5010019891645069,0.5968045962095716,2.6553511171483137,2.215750271782201
p12,NaiveForecaster-strategy_mean,1.4988996982574463,0.3005108778761602,0.1494394428674086,2.551000962543458,1.2792791516675786
